date,holiday
2016-01-01,New Year's Day
2016-01-14,Sankranti
2016-01-15,Sankranti
2016-01-26,Republic Day
2016-02-02, Public Holiday
2016-03-07,Maha Shivratri
2016-03-23,Doljatra
2016-03-25,Good Friday
2016-04-01, Bank Holiday
2016-04-05,Babu Jagjivan Ram Birthday
2016-04-08,Ugadi
2016-04-14,Dr Ambedkar Jayanti
2016-04-15,Sri Rama Navami
2016-07-07,Idul Fitr
2016-07-08,Idul Fitr
2016-08-01,Bonalu
2016-08-15, Independence Day
2016-08-25,Sri Krishna Astami
2016-09-05,Ganesh Chaturthi
2016-09-12,Bakrid
2016-10-02,Mahatma Gandhi Birthday
2016-10-02,Islamic New Year
2016-10-09,Durgastami
2016-10-11,Durga Puja
2016-10-12,Shahadat Imam Hussain
2016-11-14,Guru Nanak's Birthday
2016-12-12,Eid Miladun Nabi
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2017-01-13,Bhogi
2017-01-26,Republic Day
2017-02-24,Maha Shivaratri
2017-03-29,Ugadi
2017-04-01, Bank Holiday
2017-04-05,Babu Jagjivan Ram Birthday
2017-04-05,Sri Rama Navami
2017-04-14,Dr Ambedkar Jayanti
2017-04-14,Good Friday
2017-06-26,Eidul Fitar
2017-06-27,Following Day of Ramzan
2017-07-10,Bonalu
2017-08-15, Independence Day
2017-08-25,Vinayaka Chavithi
2017-09-02,Eidul Azha
2017-09-20,Bathukamma Starting Day
2017-09-28,Durgastami
2017-09-30,Vijaya Dasami
2017-10-02,Mahatma Gandhi Birthday
2017-10-18,Deepavali
2017-11-04,Guru Nanak's Birthday
2017-12-02,Eid Miladun Nabi
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-01-14,Bhogi
2018-01-15,Sankranti/Pongal
2018-01-26,Republic Day
2018-02-13,Maha Shivratri
2018-03-01,Holi
2018-03-18,Ugadi
2018-03-26,Sri Rama Navami
2018-03-30,Good Friday
2018-04-01, Bank Holiday
2018-04-05,Babu Jagjivan Ram Birthday
2018-04-14,Dr Ambedkar Jayanti
2018-06-16,Eidul Fitar
2018-06-17,Following Day Of Ramzan
2018-08-06,Bonalu
2018-08-15,Independence Day
2018-08-17,Public Holiday
2018-08-22,Eidul Azha
2018-09-03,Sri Krishna Astami
2018-09-13,Vinayaka Chavithi
2018-09-21,Moharam
2018-10-02,Mahatma Gandhi Birthday
2018-10-09,Bathukamma Starting Day
2018-10-17,Durgastami
2018-10-18,Vijaya Dasami
2018-11-07,Deepavali
2018-11-21,Eid Miladun Nabi
2018-11-23,Guru Nanak's Birthday
2018-12-07,Public Holiday
2018-12-25,Christmas Day
2018-12-26,Christmas Holiday
2019-01-01,New Year's Day
2019-01-14,Bhogi
2019-01-15,Sankranti
2019-01-26,Republic Day
2019-03-04,Maha Shivratri
2019-03-21,Doljatra
2019-04-01,Bank Holiday
2019-04-05,Babu Jagjivan Ram Birthday
2019-04-06,Ugadi
2019-04-11,Public Holiday Lok Shaba Elections
2019-04-14,Dr Ambedkar Jayanti
2019-04-14,Sri Rama Navami
2019-04-19,Good Friday
2019-06-05,Id-Ul-Fitr
2019-06-06,Following Day of Ramazan
2019-07-29,Bonalu
2019-08-12,Bakrid
2019-08-15,Independence Day
2019-08-24,Sri Krishna Astami
2019-09-02,Vinayaka Chavithi
2019-09-10,Shahadat Imam Hussain
2019-09-12,Anant Chaturdashi
2019-09-28,Bathukamma Starting Day
2019-10-02,Mahatma Gandhi Birthday
2019-10-06,Durgastami
2019-10-08,Vijaya Dasami
2019-10-27,Deepavali
2019-11-10,Eid Miladun Nabi
2019-11-12,Guru Nanak's Birthday
2019-12-25,Christmas Day
2019-12-26,Boxing Day
